0,0
0.0606061,0.20272
0.121212,0.404883
0.181818,0.60543
0.242424,0.803539
0.30303,0.998412
0.363636,1.18926
0.424242,1.37532
0.484848,1.55585
0.545455,1.7301
0.606061,1.89739
0.666667,2.05704
0.727273,2.2084
0.787879,2.35087
0.848485,2.48387
0.909091,2.60687
0.969697,2.71937
1.0303,2.82092
1.09091,2.91111
1.15152,2.98958
1.21212,3.056
1.27273,3.10995
1.33333,3.15112
1.39394,3.17963
1.45455,3.19548
1.51515,3.19866
1.57576,3.18919
1.63636,3.16704
1.69697,3.13219
1.75758,3.08464
1.81818,3.02431
1.87879,2.95183
1.93939,2.86746
2,2.77154
2.06061,2.66446
2.12121,2.54665
2.18182,2.41858
2.24242,2.28078
2.30303,2.13379
2.36364,1.9782
2.42424,1.81465
2.48485,1.6438
2.54545,1.46632
2.60606,1.28293
2.66667,1.09438
2.72727,0.901422
2.78788,0.704832
2.84848,0.505402
2.90909,0.303937
2.9697,0.101246
