,r2
116,-0.0019139503054767712
117,-0.0019139503054767712
118,-0.00024987854710822204
119,-0.0019139503054767712
120,-7.435485921693566e-05
121,-7.435485921693566e-05
122,-3.140098649670941e-05
123,-0.0019139503054767712
124,-7.435485921693566e-05
125,-0.0019139503054767712
126,-0.00024987854710822204
127,-0.0019139503054767712
128,-7.435485921693566e-05
129,-0.0019139503054767712
130,
131,-0.0019139503054767712
132,-0.0019139503054767712
133,-7.435485921693566e-05
134,-0.00024987854710822204
135,-0.0019139503054767712
136,-0.0019139503054767712
137,-0.0019139503054767712
138,
139,-0.0019139503054767712
140,-0.0019139503054767712
141,-0.0019139503054767712
142,-0.00024987854710822204
143,-7.435485921693566e-05
144,-0.0019139503054767712
145,-7.435485921693566e-05
146,-3.140098649670941e-05
147,-7.435485921693566e-05
148,-0.0019139503054767712
149,-0.0019139503054767712
150,-0.00024987854710822204
151,-7.435485921693566e-05
152,-0.0019139503054767712
153,-0.0019139503054767712
154,-3.140098649670941e-05
155,-7.435485921693566e-05
156,-7.435485921693566e-05
157,-7.435485921693566e-05
158,-9.308945548788597e-06
159,-7.435485921693566e-05
160,-7.435485921693566e-05
161,-0.0019139503054767712
162,-3.140098649670941e-05
163,-7.435485921693566e-05
164,-7.435485921693566e-05
165,-0.0019139503054767712
166,-0.00024987854710822204
167,-7.435485921693566e-05
168,-0.0019139503054767712
169,-7.435485921693566e-05
170,-3.140098649670941e-05
171,-7.435485921693566e-05
172,-0.0019139503054767712
173,-0.0019139503054767712
174,-0.00024987854710822204
175,-7.435485921693566e-05
176,-0.0019139503054767712
177,-0.0019139503054767712
178,
179,-0.0019139503054767712
180,-0.0019139503054767712
181,-7.435485921693566e-05
182,-0.00024987854710822204
183,-0.0019139503054767712
184,-0.0019139503054767712
185,-0.0019139503054767712
186,
187,-0.0019139503054767712
188,-0.0019139503054767712
189,-0.0019139503054767712
190,-0.00024987854710822204
191,-0.0019139503054767712
192,-7.435485921693566e-05
193,-7.435485921693566e-05
194,-3.140098649670941e-05
195,-0.0019139503054767712
196,-7.435485921693566e-05
197,-0.0019139503054767712
198,-0.00024987854710822204
199,-0.0019139503054767712
200,-7.435485921693566e-05
201,-0.0019139503054767712
202,
203,-0.0019139503054767712
204,-0.0019139503054767712
205,-7.435485921693566e-05
206,-0.00024987854710822204
207,-0.0019139503054767712
208,-0.0019139503054767712
209,-0.0019139503054767712
210,
211,-0.0019139503054767712
212,-0.0019139503054767712
213,-0.0019139503054767712
214,-0.0019139503054767712
215,-0.0019139503054767712
216,-0.00024987854710822204
217,-7.435485921693566e-05
218,-0.0019139503054767712
219,-0.0019139503054767712
220,
221,-0.0019139503054767712
222,-7.435485921693566e-05
223,-0.0019139503054767712
224,-0.00024987854710822204
225,-0.0019139503054767712
226,-7.435485921693566e-05
227,-0.0019139503054767712
228,-3.140098649670941e-05
229,-7.435485921693566e-05
230,-7.435485921693566e-05
231,-0.0019139503054767712
232,-0.00024987854710822204
233,-0.0019139503054767712
234,-0.0019139503054767712
235,-0.0019139503054767712
236,
237,-0.0019139503054767712
238,-0.0019139503054767712
239,-0.0019139503054767712
240,-0.00024987854710822204
241,-7.435485921693566e-05
242,-0.0019139503054767712
243,-0.0019139503054767712
244,
245,-0.0019139503054767712
246,-0.0019139503054767712
247,-7.435485921693566e-05
248,-0.00024987854710822204
249,-0.0019139503054767712
250,-0.0019139503054767712
251,-7.435485921693566e-05
252,-3.140098649670941e-05
253,-7.435485921693566e-05
254,-0.0019139503054767712
255,-7.435485921693566e-05
256,-0.00024987854710822204
257,-0.0019139503054767712
258,-7.435485921693566e-05
259,-7.435485921693566e-05
260,-3.140098649670941e-05
261,-0.0019139503054767712
262,-7.435485921693566e-05
263,-7.435485921693566e-05
264,-9.308945548788597e-06
265,-7.435485921693566e-05
266,-7.435485921693566e-05
267,-7.435485921693566e-05
268,-3.140098649670941e-05
269,-0.0019139503054767712
270,-0.0019139503054767712
271,-7.435485921693566e-05
272,-0.00024987854710822204
273,-0.0019139503054767712
274,-0.0019139503054767712
275,-7.435485921693566e-05
276,-3.140098649670941e-05
277,-7.435485921693566e-05
278,-0.0019139503054767712
279,-7.435485921693566e-05
280,-0.00024987854710822204
281,-0.0019139503054767712
282,-0.0019139503054767712
283,-0.0019139503054767712
284,
285,-0.0019139503054767712
286,-0.0019139503054767712
287,-0.0019139503054767712
288,-0.00024987854710822204
289,-7.435485921693566e-05
290,-0.0019139503054767712
291,-0.0019139503054767712
292,
293,-0.0019139503054767712
294,-7.435485921693566e-05
295,-0.0019139503054767712
296,-0.00024987854710822204
297,-0.0019139503054767712
298,-7.435485921693566e-05
299,-0.0019139503054767712
300,-3.140098649670941e-05
301,-7.435485921693566e-05
302,-7.435485921693566e-05
303,-0.0019139503054767712
304,-0.00024987854710822204
305,-0.0019139503054767712
306,-0.0019139503054767712
307,-0.0019139503054767712
308,
309,-0.0019139503054767712
310,-0.0019139503054767712
311,-0.0019139503054767712
312,-0.00024987854710822204
313,-7.435485921693566e-05
314,-0.0019139503054767712
315,-0.0019139503054767712
316,
317,-0.0019139503054767712
318,-0.0019139503054767712
319,-0.0019139503054767712
320,-7.435485921693566e-05
321,-0.00024987854710822204
322,-0.0019139503054767712
323,-0.0019139503054767712
324,-0.0019139503054767712
325,
326,-0.0019139503054767712
327,-7.435485921693566e-05
328,-0.0019139503054767712
329,-0.00024987854710822204
330,-0.0019139503054767712
331,-7.435485921693566e-05
332,-7.435485921693566e-05
333,-3.140098649670941e-05
334,-0.0019139503054767712
335,-7.435485921693566e-05
336,-0.0019139503054767712
337,-0.00024987854710822204
338,-0.0019139503054767712
339,-0.0019139503054767712
340,-0.0019139503054767712
341,
342,-0.0019139503054767712
343,-0.0019139503054767712
344,-7.435485921693566e-05
345,-0.00024987854710822204
346,-0.0019139503054767712
347,-0.0019139503054767712
348,-0.0019139503054767712
349,
350,-7.435485921693566e-05
351,-0.0019139503054767712
352,-0.0019139503054767712
353,-0.00024987854710822204
