,frequency,MC
OKE,0.08970976253298153,0.01581768967683334
XOM,0.09762532981530343,0.1808666590569938
OXY,0.09762532981530343,0.11032581485599512
CVX,0.09762532981530343,0.05389852897026753
HAL,0.09762532981530343,0.04429189934205382
APA,0.10026385224274406,0.032957369174867586
CPB,0.10290237467018469,0.2152791353276946
ENPH,0.10290237467018469,0.1547252167777891
MPC,0.10554089709762533,0.18724933157092863
MRO,0.10817941952506596,0.004588355246576319
