,frequency,MC
GNRC,0.07857142857142857,0.12624482876564327
PAYC,0.07857142857142857,0.049965364388376614
CDW,0.07857142857142857,0.05882713794258945
CRL,0.08095238095238096,0.014973386530226352
CDAY,0.08571428571428572,0.0032982794517204205
SEDG,0.08571428571428572,0.08587127518647762
AMAT,0.0880952380952381,0.08585506771765952
SGEN,0.1,0.07601942894810003
LRCX,0.10238095238095238,0.16994275022864602
ENPH,0.22142857142857142,0.3290024808405607
