,frequency,MC
FDS,0.09164420485175202,0.06882376672807086
IPG,0.09164420485175202,0.11608758598957476
MAA,0.09164420485175202,0.0741936518017407
LLY,0.09164420485175202,0.06628743065118688
DGX,0.09433962264150944,0.10152687755284978
WST,0.09973045822102426,0.14717512986347983
EXR,0.10512129380053908,0.3456204599875
IRM,0.1078167115902965,0.030033984115144064
LCID,0.1078167115902965,0.025443335995715684
MRNA,0.11859838274932614,0.024807777314737427
