,frequency,MC
HES,0.0916030534351145,0.16294509732609155
MRO,0.0916030534351145,0.12050763714310626
ADM,0.0916030534351145,0.04421643079468447
HAL,0.09414758269720101,0.053545060891947355
CI,0.09669211195928754,0.006718897509756267
ENPH,0.09669211195928754,0.06794289042383003
MPC,0.10178117048346055,0.08359566319648339
XOM,0.10432569974554708,0.04794025941546584
APA,0.10687022900763359,0.09763256386606581
OXY,0.12468193384223919,0.31495549943256906
