,frequency,MC
IPG,0.08793969849246232,0.01684224567584417
ENPH,0.09045226130653267,0.06343043106740887
AAP,0.09045226130653267,0.26449380703368497
ZBRA,0.09296482412060302,0.0186118031358488
MSCI,0.09547738693467336,0.006922141079192182
OKTA,0.09547738693467336,0.12356896144159159
MSI,0.09798994974874371,0.005877675757733967
TEAM,0.10301507537688442,0.042200402139215006
ETSY,0.11809045226130653,0.14352075448463114
DXCM,0.12814070351758794,0.31453177818484934
