,frequency,MC
LULU,0.08071748878923767,0.041314286648031634
ABMD,0.08295964125560538,0.0018895093936195533
ZBRA,0.08295964125560538,0.004233940123575012
INTU,0.08295964125560538,0.011878340495858298
ENPH,0.08968609865470852,0.25491353692824775
AAP,0.09417040358744394,0.019200638844081807
TEAM,0.09865470852017937,0.06075085626028952
OKTA,0.11434977578475336,0.11250017474503542
DXCM,0.13228699551569506,0.20825180479138247
ETSY,0.1412556053811659,0.2850669117698786
