,frequency,MC
DDOG,0.0690978886756238,0.00870544993677262
DOCU,0.07293666026871401,0.018630155075163624
CRWD,0.08061420345489444,0.16438592239568647
PDD,0.09213051823416507,0.08810029309303226
ZS,0.09404990403071017,0.0025811657818019178
ETSY,0.09596928982725528,0.0012661870023432367
ZM,0.10556621880998081,0.13779735932547774
ENPH,0.10748560460652591,0.07362554020169004
MRNA,0.11324376199616124,0.11843692269404482
TSLA,0.1689059500959693,0.38647100449398725
